id,activity_date,day_type,week_number,user_type,total_steps,total_steps_filtered,very_active_minutes,fairly_active_minutes,sedentary_minutes,calories,total_minutes_asleep,sleep_efficiency,type_of_sleeper,sedentary_percentage
4020332650,2016-03-16,Weekday,11,Moderate Mover,12483,12483,25,14,599,3830,,,,41.6
4020332650,2016-03-17,Weekday,11,Sedentary User,8940,8940,0,0,986,3706,,,,68.47
4020332650,2016-03-18,Weekday,11,Sedentary User,368,368,0,0,1440,2024,,,,100
4020332650,2016-03-19,Weekend,11,Sedentary User,5702,5702,0,0,1440,2980,,,,100
4020332650,2016-03-20,Weekend,11,Sedentary User,10330,10330,0,0,1440,3728,,,,100
4020332650,2016-03-21,Weekday,12,Sedentary User,8778,8778,0,0,1440,3348,,,,100
4020332650,2016-03-22,Weekday,12,Sedentary User,6662,6662,0,0,1440,3162,,,,100
4020332650,2016-03-23,Weekday,12,Sedentary User,6309,6309,0,0,1440,3140,,,,100
4020332650,2016-03-24,Weekday,12,Sedentary User,1951,1951,0,0,1440,1980,,,,100
4020332650,2016-03-25,Weekday,12,Sedentary User,5563,5563,0,0,1440,3681,,,,100
4020332650,2016-03-26,Weekend,12,Sedentary User,4370,4370,0,0,1440,3444,,,,100
4020332650,2016-03-27,Weekend,12,Sedentary User,7144,7144,0,0,1440,3510,,,,100
4020332650,2016-03-28,Weekday,13,High Efficiency Mover,2106,2106,31,45,1289,4010,,,,89.51
4020332650,2016-03-29,Weekday,13,Sedentary User,4152,4152,0,0,1253,2976,,,,87.01
4020332650,2016-03-30,Weekday,13,Sedentary User,5400,5400,0,0,795,3418,,,,55.21
4020332650,2016-03-31,Weekday,13,High Efficiency Mover,7428,7428,18,33,860,3439,,,,59.72
4020332650,2016-04-01,Weekday,13,High Efficiency Mover,5351,5351,15,17,748,3338,,,,51.94
4020332650,2016-04-02,Weekend,13,Moderate Mover,4299,4299,3,15,752,2892,,,,52.22
4020332650,2016-04-03,Weekend,13,Sedentary User,6107,6107,0,0,776,3313,,,,53.89
4020332650,2016-04-04,Weekday,14,Moderate Mover,6429,6429,0,28,741,3118,,,,51.46
4020332650,2016-04-05,Weekday,14,Moderate Mover,6880,6880,7,19,1249,2966,478,0.89,Average Sleeper,86.74
4020332650,2016-04-06,Weekday,14,Sedentary User,7476,7476,0,0,920,3253,,,,63.89
4020332650,2016-04-07,Weekday,14,Moderate Mover,6581,6581,0,8,1191,3032,,,,82.71
4020332650,2016-04-08,Weekday,14,Moderate Mover,10480,10480,6,37,1125,4034,,,,78.13
4020332650,2016-04-09,Weekend,14,Moderate Mover,7734,7734,20,12,1185,3264,,,,82.29
4020332650,2016-04-10,Weekend,14,Moderate Mover,5129,5129,5,7,1178,2817,,,,81.81
4020332650,2016-04-11,Weekday,15,Sedentary User,2993,2993,0,0,888,2507,,,,61.67
4020332650,2016-04-12,Weekday,15,Sedentary User,8,8,0,0,321,446,,,,22.29
4057192912,2016-03-12,Weekend,10,Sedentary User,0,,0,0,1440,1777,,,,100
